listing_id,user_id,title,description,price,area_sqm,price_per_sqm,location,contact_verified,account_age_days,is_scam
list_40,user_192,No Agent – Direct Owner 68 sqm at Hougang,"Fake listings beware – this is real! Hougang rental, direct owner. Secure it now before gone.",2047.23,68.64,29.83,Hougang,False,107,1
list_41,user_17,No Agent – Direct Owner 78 sqm at Hougang,Lowest price ever seen in Hougang. Just 78 sqm of comfort. Deal ends today!,2964.75,78.58,37.73,Hougang,False,251,1
list_42,user_271,Best Price in Orchard – Must Go,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,2631.4,85.57,30.75,Orchard,False,246,1
list_43,user_164,Cheap deal in Toa Payoh – Act Fast,Lowest price ever seen in Toa Payoh. Just 77 sqm of comfort. Deal ends today!,2194.17,77.85,28.18,Toa Payoh,False,262,1
list_44,user_169,Best Price in Toa Payoh – Must Go,Lowest price ever seen in Toa Payoh. Just 70 sqm of comfort. Deal ends today!,2631.94,70.85,37.15,Toa Payoh,True,151,1
list_45,user_71,Best Price in Orchard – Must Go,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,2667.47,69.76,38.24,Orchard,False,201,1
list_46,user_13,Best Price in Jurong – Must Go,Direct from owner. No agent fee! 71 sqm in Jurong. Pay deposit to secure. Urgent lease!,2826.97,71.44,39.57,Jurong,True,52,1
list_47,user_277,Cheap deal in Orchard – Act Fast,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,2613.49,72.22,36.19,Orchard,False,3,1
list_48,user_105,Cheap deal in Toa Payoh – Act Fast,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",2487.19,70.06,35.5,Toa Payoh,True,212,1
list_49,user_69,Cheap deal in Tampines – Act Fast,"Fake listings beware – this is real! Tampines rental, direct owner. Secure it now before gone.",4492.55,84.99,52.86,Tampines,False,248,1
list_50,user_250,Limited Time Offer – Tampines Condo,Direct from owner. No agent fee! 81 sqm in Tampines. Pay deposit to secure. Urgent lease!,2494.55,81.15,30.74,Tampines,False,40,1
list_51,user_205,Limited Time Offer – Tampines Condo,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,1713.88,74.69,22.95,Tampines,True,191,1
list_52,user_232,No Agent – Direct Owner 67 sqm at Jurong,Direct from owner. No agent fee! 67 sqm in Jurong. Pay deposit to secure. Urgent lease!,2869.35,67.02,42.81,Jurong,True,255,1
list_53,user_66,Urgent Rental: Tampines Only Today!,"Quick deal in Tampines – no viewing needed. First come, first served. Only 63 sqm!",3295.32,63.39,51.98,Tampines,False,133,1
list_54,user_186,No Agent – Direct Owner 63 sqm at Jurong,Too good to miss! Contact immediately. Great value in Jurong. No background checks required.,2250.44,63.35,35.53,Jurong,True,169,1
list_55,user_4,No Agent – Direct Owner 63 sqm at Bukit Timah,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,1517.68,63.58,23.87,Bukit Timah,True,56,1
list_56,user_14,Urgent Rental: Jurong Only Today!,Too good to miss! Contact immediately. Great value in Jurong. No background checks required.,2478.71,62.45,39.69,Jurong,False,221,1
list_57,user_248,Cheap deal in Orchard – Act Fast,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,4201.02,97.35,43.15,Orchard,False,265,1
list_58,user_275,No Agent – Direct Owner 96 sqm at Tampines,Direct from owner. No agent fee! 96 sqm in Tampines. Pay deposit to secure. Urgent lease!,3558.36,96.0,37.07,Tampines,False,121,1
list_59,user_15,Urgent Rental: Orchard Only Today!,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,1807.53,65.7,27.51,Orchard,False,283,1
list_60,user_24,No Agent – Direct Owner 73 sqm at Hougang,Direct from owner. No agent fee! 73 sqm in Hougang. Pay deposit to secure. Urgent lease!,3333.54,73.51,45.35,Hougang,True,121,1
list_61,user_16,Cheap deal in Tampines – Act Fast,Direct from owner. No agent fee! 56 sqm in Tampines. Pay deposit to secure. Urgent lease!,1691.35,56.76,29.8,Tampines,False,184,1
list_62,user_225,Cheap deal in Tampines – Act Fast,"Fake listings beware – this is real! Tampines rental, direct owner. Secure it now before gone.",2036.09,78.08,26.08,Tampines,False,9,1
list_63,user_60,Best Price in Bukit Timah – Must Go,Lowest price ever seen in Bukit Timah. Just 87 sqm of comfort. Deal ends today!,4821.34,87.02,55.4,Bukit Timah,True,119,1
list_64,user_160,Cheap deal in Hougang – Act Fast,"Fake listings beware – this is real! Hougang rental, direct owner. Secure it now before gone.",3667.81,92.66,39.58,Hougang,False,51,1
list_65,user_134,Urgent Rental: Bukit Timah Only Today!,"Quick deal in Bukit Timah – no viewing needed. First come, first served. Only 80 sqm!",4397.4,80.65,54.52,Bukit Timah,False,69,1
list_66,user_15,Urgent Rental: Jurong Only Today!,Too good to miss! Contact immediately. Great value in Jurong. No background checks required.,1457.69,60.76,23.99,Jurong,True,156,1
list_67,user_126,Limited Time Offer – Toa Payoh Condo,"Quick deal in Toa Payoh – no viewing needed. First come, first served. Only 85 sqm!",4050.53,85.64,47.3,Toa Payoh,False,251,1
list_68,user_108,Best Price in Orchard – Must Go,"Fake listings beware – this is real! Orchard rental, direct owner. Secure it now before gone.",1317.3,84.09,15.67,Orchard,False,79,1
list_69,user_220,Urgent Rental: Tampines Only Today!,"Fake listings beware – this is real! Tampines rental, direct owner. Secure it now before gone.",5346.42,101.65,52.6,Tampines,False,136,1
list_70,user_146,Urgent Rental: Tampines Only Today!,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,2416.26,50.47,47.87,Tampines,False,192,1
list_71,user_75,Best Price in Tampines – Must Go,Lowest price ever seen in Tampines. Just 92 sqm of comfort. Deal ends today!,3645.34,92.17,39.55,Tampines,False,203,1
list_72,user_291,Limited Time Offer – Jurong Condo,Lowest price ever seen in Jurong. Just 62 sqm of comfort. Deal ends today!,2142.89,62.22,34.44,Jurong,False,219,1
list_73,user_149,Cheap deal in Bukit Timah – Act Fast,"Quick deal in Bukit Timah – no viewing needed. First come, first served. Only 79 sqm!",1334.89,79.72,16.75,Bukit Timah,True,118,1
list_74,user_282,Limited Time Offer – Toa Payoh Condo,Direct from owner. No agent fee! 88 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,2865.4,88.56,32.36,Toa Payoh,True,104,1
list_75,user_248,Cheap deal in Hougang – Act Fast,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,1447.31,69.32,20.88,Hougang,True,141,1
list_76,user_12,Limited Time Offer – Toa Payoh Condo,Lowest price ever seen in Toa Payoh. Just 93 sqm of comfort. Deal ends today!,3153.02,93.42,33.75,Toa Payoh,False,290,1
list_77,user_95,Limited Time Offer – Bukit Timah Condo,Direct from owner. No agent fee! 58 sqm in Bukit Timah. Pay deposit to secure. Urgent lease!,1862.48,58.55,31.81,Bukit Timah,False,94,1
list_78,user_286,Urgent Rental: Tampines Only Today!,Lowest price ever seen in Tampines. Just 106 sqm of comfort. Deal ends today!,3010.49,106.18,28.35,Tampines,True,188,1
list_79,user_20,Urgent Rental: Jurong Only Today!,"Fake listings beware – this is real! Jurong rental, direct owner. Secure it now before gone.",2692.0,86.28,31.2,Jurong,False,222,1
list_80,user_6,Limited Time Offer – Toa Payoh Condo,Lowest price ever seen in Toa Payoh. Just 68 sqm of comfort. Deal ends today!,2799.3,68.2,41.04,Toa Payoh,True,174,1
list_81,user_283,Limited Time Offer – Bukit Timah Condo,Lowest price ever seen in Bukit Timah. Just 111 sqm of comfort. Deal ends today!,2538.75,111.03,22.87,Bukit Timah,True,263,1
list_82,user_195,Cheap deal in Toa Payoh – Act Fast,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",2023.37,71.35,28.36,Toa Payoh,False,173,1
list_83,user_196,Urgent Rental: Orchard Only Today!,Lowest price ever seen in Orchard. Just 88 sqm of comfort. Deal ends today!,3377.83,88.16,38.32,Orchard,True,47,1
list_84,user_31,Cheap deal in Orchard – Act Fast,"Quick deal in Orchard – no viewing needed. First come, first served. Only 108 sqm!",2145.79,108.25,19.82,Orchard,False,172,1
list_85,user_13,Cheap deal in Jurong – Act Fast,Lowest price ever seen in Jurong. Just 91 sqm of comfort. Deal ends today!,2511.43,91.01,27.6,Jurong,True,96,1
list_86,user_43,Cheap deal in Jurong – Act Fast,Direct from owner. No agent fee! 101 sqm in Jurong. Pay deposit to secure. Urgent lease!,3494.37,101.49,34.43,Jurong,False,284,1
list_87,user_120,Best Price in Bukit Timah – Must Go,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",3200.43,110.91,28.86,Bukit Timah,True,177,1
list_88,user_13,Cheap deal in Jurong – Act Fast,Lowest price ever seen in Jurong. Just 71 sqm of comfort. Deal ends today!,3590.89,71.76,50.04,Jurong,False,58,1
list_89,user_250,Urgent Rental: Bukit Timah Only Today!,"Quick deal in Bukit Timah – no viewing needed. First come, first served. Only 89 sqm!",2672.93,89.06,30.01,Bukit Timah,False,138,1
list_90,user_9,No Agent – Direct Owner 55 sqm at Hougang,Direct from owner. No agent fee! 55 sqm in Hougang. Pay deposit to secure. Urgent lease!,1696.48,55.51,30.56,Hougang,False,166,1
list_91,user_2,Urgent Rental: Bukit Timah Only Today!,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,3232.82,69.39,46.59,Bukit Timah,False,20,1
list_92,user_87,Best Price in Jurong – Must Go,Direct from owner. No agent fee! 84 sqm in Jurong. Pay deposit to secure. Urgent lease!,2382.89,84.63,28.16,Jurong,True,198,1
list_93,user_265,Cheap deal in Orchard – Act Fast,Lowest price ever seen in Orchard. Just 83 sqm of comfort. Deal ends today!,3902.77,83.37,46.81,Orchard,False,3,1
list_94,user_212,No Agent – Direct Owner 59 sqm at Jurong,"Quick deal in Jurong – no viewing needed. First come, first served. Only 59 sqm!",1216.25,59.7,20.37,Jurong,False,275,1
list_95,user_285,No Agent – Direct Owner 33 sqm at Orchard,Lowest price ever seen in Orchard. Just 33 sqm of comfort. Deal ends today!,1516.17,33.61,45.11,Orchard,True,234,1
list_96,user_206,Urgent Rental: Bukit Timah Only Today!,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",3918.07,106.25,36.88,Bukit Timah,False,150,1
list_97,user_94,No Agent – Direct Owner 92 sqm at Jurong,Direct from owner. No agent fee! 92 sqm in Jurong. Pay deposit to secure. Urgent lease!,3994.95,92.87,43.02,Jurong,True,133,1
list_98,user_242,Urgent Rental: Tampines Only Today!,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,2932.61,115.97,25.29,Tampines,True,196,1
list_99,user_68,Best Price in Hougang – Must Go,"Fake listings beware – this is real! Hougang rental, direct owner. Secure it now before gone.",1049.59,69.97,15.0,Hougang,True,198,1
list_100,user_71,Best Price in Hougang – Must Go,"Quick deal in Hougang – no viewing needed. First come, first served. Only 31 sqm!",586.68,31.04,18.9,Hougang,False,19,1
list_101,user_290,Urgent Rental: Toa Payoh Only Today!,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",2529.64,77.9,32.47,Toa Payoh,False,285,1
list_102,user_168,Cheap deal in Jurong – Act Fast,Lowest price ever seen in Jurong. Just 74 sqm of comfort. Deal ends today!,2511.84,74.71,33.62,Jurong,False,276,1
list_103,user_241,Cheap deal in Toa Payoh – Act Fast,Direct from owner. No agent fee! 72 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,3600.2,72.74,49.5,Toa Payoh,True,269,1
list_104,user_39,No Agent – Direct Owner 86 sqm at Tampines,"Quick deal in Tampines – no viewing needed. First come, first served. Only 86 sqm!",1462.42,86.72,16.86,Tampines,False,290,1
list_105,user_47,No Agent – Direct Owner 71 sqm at Hougang,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,2203.04,71.98,30.61,Hougang,False,173,1
list_106,user_206,No Agent – Direct Owner 84 sqm at Jurong,Direct from owner. No agent fee! 84 sqm in Jurong. Pay deposit to secure. Urgent lease!,3064.02,84.25,36.37,Jurong,False,294,1
list_107,user_33,Best Price in Toa Payoh – Must Go,Direct from owner. No agent fee! 71 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,2939.58,71.63,41.04,Toa Payoh,True,122,1
list_108,user_104,Cheap deal in Bukit Timah – Act Fast,Lowest price ever seen in Bukit Timah. Just 80 sqm of comfort. Deal ends today!,3931.81,80.06,49.11,Bukit Timah,False,190,1
list_109,user_138,Urgent Rental: Toa Payoh Only Today!,Direct from owner. No agent fee! 103 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,3692.6,103.64,35.63,Toa Payoh,False,48,1
list_110,user_292,No Agent – Direct Owner 96 sqm at Orchard,Too good to miss! Contact immediately. Great value in Orchard. No background checks required.,4743.9,96.57,49.12,Orchard,True,149,1
list_111,user_156,Best Price in Hougang – Must Go,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,2550.62,123.64,20.63,Hougang,True,17,1
list_112,user_73,Urgent Rental: Bukit Timah Only Today!,Direct from owner. No agent fee! 75 sqm in Bukit Timah. Pay deposit to secure. Urgent lease!,2964.03,75.57,39.22,Bukit Timah,True,134,1
list_113,user_212,Limited Time Offer – Tampines Condo,"Quick deal in Tampines – no viewing needed. First come, first served. Only 96 sqm!",2060.89,96.74,21.3,Tampines,False,90,1
list_114,user_139,Best Price in Tampines – Must Go,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,2720.55,54.0,50.38,Tampines,True,206,1
list_115,user_40,Urgent Rental: Bukit Timah Only Today!,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",4235.94,94.67,44.75,Bukit Timah,False,253,1
list_116,user_88,Urgent Rental: Tampines Only Today!,"Quick deal in Tampines – no viewing needed. First come, first served. Only 74 sqm!",2387.06,74.52,32.03,Tampines,True,200,1
list_117,user_10,Best Price in Orchard – Must Go,Direct from owner. No agent fee! 84 sqm in Orchard. Pay deposit to secure. Urgent lease!,3980.75,84.13,47.31,Orchard,True,164,1
list_118,user_65,Cheap deal in Bukit Timah – Act Fast,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,4565.82,83.41,54.74,Bukit Timah,False,195,1
list_119,user_90,Limited Time Offer – Bukit Timah Condo,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",3110.02,76.14,40.85,Bukit Timah,True,227,1
list_120,user_212,Limited Time Offer – Bukit Timah Condo,Direct from owner. No agent fee! 80 sqm in Bukit Timah. Pay deposit to secure. Urgent lease!,1952.87,80.43,24.28,Bukit Timah,True,39,1
list_121,user_154,Urgent Rental: Jurong Only Today!,Direct from owner. No agent fee! 70 sqm in Jurong. Pay deposit to secure. Urgent lease!,1243.17,70.34,17.67,Jurong,True,265,1
list_122,user_204,Limited Time Offer – Toa Payoh Condo,Direct from owner. No agent fee! 68 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,1808.23,68.49,26.4,Toa Payoh,True,32,1
list_123,user_188,Limited Time Offer – Toa Payoh Condo,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",4005.54,93.38,42.89,Toa Payoh,False,136,1
list_124,user_260,Best Price in Hougang – Must Go,Direct from owner. No agent fee! 89 sqm in Hougang. Pay deposit to secure. Urgent lease!,1967.11,89.54,21.97,Hougang,False,19,1
list_125,user_237,Best Price in Jurong – Must Go,"Fake listings beware – this is real! Jurong rental, direct owner. Secure it now before gone.",2290.09,75.38,30.38,Jurong,False,234,1
list_126,user_141,Cheap deal in Jurong – Act Fast,Lowest price ever seen in Jurong. Just 90 sqm of comfort. Deal ends today!,2749.33,90.98,30.22,Jurong,False,29,1
list_127,user_286,Limited Time Offer – Toa Payoh Condo,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",2791.93,59.46,46.96,Toa Payoh,False,166,1
list_128,user_80,Best Price in Hougang – Must Go,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,4862.28,119.89,40.56,Hougang,True,76,1
list_129,user_75,Best Price in Bukit Timah – Must Go,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,2394.12,99.03,24.18,Bukit Timah,True,145,1
list_130,user_32,Best Price in Jurong – Must Go,Too good to miss! Contact immediately. Great value in Jurong. No background checks required.,3297.35,85.41,38.61,Jurong,True,280,1
list_131,user_262,Best Price in Toa Payoh – Must Go,Lowest price ever seen in Toa Payoh. Just 79 sqm of comfort. Deal ends today!,1627.91,79.28,20.53,Toa Payoh,False,205,1
list_132,user_168,No Agent – Direct Owner 85 sqm at Bukit Timah,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,3279.11,85.53,38.34,Bukit Timah,False,234,1
list_133,user_225,Limited Time Offer – Jurong Condo,"Quick deal in Jurong – no viewing needed. First come, first served. Only 59 sqm!",2126.99,59.85,35.54,Jurong,False,253,1
list_134,user_230,Limited Time Offer – Bukit Timah Condo,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",2989.71,77.01,38.82,Bukit Timah,False,202,1
list_135,user_221,Urgent Rental: Hougang Only Today!,Lowest price ever seen in Hougang. Just 81 sqm of comfort. Deal ends today!,2457.41,81.98,29.98,Hougang,False,12,1
list_136,user_72,Best Price in Jurong – Must Go,Lowest price ever seen in Jurong. Just 68 sqm of comfort. Deal ends today!,1032.97,68.86,15.0,Jurong,True,25,1
list_137,user_94,Urgent Rental: Toa Payoh Only Today!,Too good to miss! Contact immediately. Great value in Toa Payoh. No background checks required.,2556.84,61.66,41.47,Toa Payoh,True,18,1
list_138,user_149,Urgent Rental: Hougang Only Today!,"Quick deal in Hougang – no viewing needed. First come, first served. Only 52 sqm!",2379.15,52.19,45.58,Hougang,False,30,1
list_139,user_196,No Agent – Direct Owner 82 sqm at Toa Payoh,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",3164.56,82.76,38.24,Toa Payoh,False,106,1
list_140,user_30,Best Price in Hougang – Must Go,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,2383.62,86.43,27.58,Hougang,True,141,1
list_141,user_51,Best Price in Bukit Timah – Must Go,Direct from owner. No agent fee! 100 sqm in Bukit Timah. Pay deposit to secure. Urgent lease!,3855.1,100.23,38.46,Bukit Timah,True,276,1
list_142,user_22,Urgent Rental: Bukit Timah Only Today!,"Fake listings beware – this is real! Bukit Timah rental, direct owner. Secure it now before gone.",2907.71,75.17,38.68,Bukit Timah,False,130,1
list_143,user_200,Limited Time Offer – Hougang Condo,Direct from owner. No agent fee! 116 sqm in Hougang. Pay deposit to secure. Urgent lease!,2403.51,116.73,20.59,Hougang,False,132,1
list_144,user_187,Best Price in Orchard – Must Go,Direct from owner. No agent fee! 57 sqm in Orchard. Pay deposit to secure. Urgent lease!,2513.24,57.93,43.39,Orchard,True,235,1
list_145,user_237,Best Price in Orchard – Must Go,Direct from owner. No agent fee! 70 sqm in Orchard. Pay deposit to secure. Urgent lease!,2237.48,70.09,31.92,Orchard,False,54,1
list_146,user_157,Limited Time Offer – Orchard Condo,Lowest price ever seen in Orchard. Just 47 sqm of comfort. Deal ends today!,1907.44,47.35,40.28,Orchard,True,222,1
list_147,user_54,Limited Time Offer – Orchard Condo,Direct from owner. No agent fee! 75 sqm in Orchard. Pay deposit to secure. Urgent lease!,2017.0,75.38,26.76,Orchard,True,36,1
list_148,user_126,Urgent Rental: Tampines Only Today!,"Quick deal in Tampines – no viewing needed. First come, first served. Only 58 sqm!",2157.13,58.2,37.06,Tampines,True,85,1
list_149,user_189,Best Price in Jurong – Must Go,"Quick deal in Jurong – no viewing needed. First come, first served. Only 86 sqm!",3875.37,86.61,44.74,Jurong,False,84,1
list_150,user_135,Limited Time Offer – Hougang Condo,Direct from owner. No agent fee! 87 sqm in Hougang. Pay deposit to secure. Urgent lease!,2735.78,87.18,31.38,Hougang,True,202,1
list_151,user_35,No Agent – Direct Owner 48 sqm at Toa Payoh,Lowest price ever seen in Toa Payoh. Just 48 sqm of comfort. Deal ends today!,947.22,48.31,19.61,Toa Payoh,True,8,1
list_152,user_282,Cheap deal in Jurong – Act Fast,Lowest price ever seen in Jurong. Just 92 sqm of comfort. Deal ends today!,4736.49,92.16,51.39,Jurong,True,217,1
list_153,user_38,No Agent – Direct Owner 48 sqm at Jurong,Direct from owner. No agent fee! 48 sqm in Jurong. Pay deposit to secure. Urgent lease!,1808.72,48.8,37.06,Jurong,False,244,1
list_154,user_290,Urgent Rental: Hougang Only Today!,Lowest price ever seen in Hougang. Just 70 sqm of comfort. Deal ends today!,1690.31,70.24,24.07,Hougang,True,250,1
list_155,user_130,No Agent – Direct Owner 87 sqm at Hougang,"Fake listings beware – this is real! Hougang rental, direct owner. Secure it now before gone.",3767.88,87.74,42.94,Hougang,True,51,1
